received-date	fnsku	sku	product-name	quantity	fba-shipment-id	fulfillment-center-id
2020-08-26T00:00:00+00:00	X0015LZFT7	VAN92-H82P-ESRD1A-N1S1	SNAPTAIN H823H Plus Mini Drone para NiÃ±os, Dron con 3 BaterÃ­as, 21 Minutos de Tiempo de Vuelo - Mini HelicÃ³ptero Quadcopter por Control Remoto, Modo sin Cabeza, Volteos 3D, 3 Modos de Velocidad	360	FBA15D0KRN2Q	BCN2
2020-08-26T00:00:00+00:00	X000W7FYVJ	CACK-PT20-DEBK1A	VANKYO Aluminium Floor Stand for Projector Universal Tripod Stand Adjustable Projector Table for Projector Laptop Height from 17 to 46 Inches Black	1	FBA15CZK6K5Z	PAD1
2020-08-26T00:00:00+00:00	X00176Q46D	VAN92-5A0004-DEWH4A-N1S1	VANKYO 4K 3D HD 100 Inch 16: 9 Projector Screen Easy Folding and Wrinkle Resistant Projection Screen with Peel and Hook for Home Cinema and Outdoor Cinema	17	FBA15D0WPRSY	DTM2
2020-08-26T00:00:00+00:00	X000W79AOL	CACK-PT20-DEWH1A	VANKYO Aluminium Floor Stand for Projector/Universal Tripod Stand/Adjustable Projector Table for Projector/Laptop with Height from 17 to 46 Inches/Silver	-1	FBA15CZK4YM6	PAD1
2020-08-26T00:00:00+00:00	X0017LQBFR	VAN92-Z1AKUP-FRPK1A-N1S1	Tablette Z1 Nouvelle Version Rose	56	FBA15D34TNXG	LIL1
2020-08-26T00:00:00+00:00	X0013G9Q5X	VAN92-H823-ITBU1A-N1S5	SNAPTAIN H823H Plus Mini Drone per Bambini, Funzione Lancia&Vola, Funzione Hovering, ModalitÃ  Senza Testa, Rotazione a 360Â°, Decollo/Atterraggio a Un Pulsante, VelocitÃ  Regolabile	72	FBA15D0HYHCS	FCO1
2020-08-26T00:00:00+00:00	X0016PNMZB	VAN92-S7FK-DEBU1A-N1S1	vankyo S7 Kinder Tablet 7 Zoll, 2GB RAM, 32GB ROM, 5MP Kamera, Tablet Kinder mit SchutzhÃ¼lle und Stift, Kidoz Vorinstalliert, Elternkontrolle, Ideal fÃ¼r Kinder ab 3 Jahre , blau	-1	FBA15CZDJL3V	DUS2
2020-08-26T00:00:00+00:00	X0016NLK75	VAN92-A10XXX-ITWH0A-N1S6	SNAPTAIN A10 Mini Drone con Telecamera HD 720P Pieghevole FPV Controllo Vocale, Controllo Gesti, Volo Traiettoria, Volo Circolare, Rotazione ad Alta velocitÃ , 3D Filp, Sensore G, modalitÃ  Senza Testa	96	FBA15D0HVFVG	TRN1
2020-08-26T00:00:00+00:00	X0013LMAV5	VAN92-S500-DEBK0A-N1S2	SNAPTAIN SP500 GPS FPV drone avec camÃ©ra HD 1080P, vidÃ©o en direct, drone pliable pour dÃ©butant, quadricoptÃ¨re RC avec GPS Ã  domicile domestique, Follow Me, contrÃ´le des gestes, Circle Fly, Auto Hover et 5G WiFi Transmiss	-12	FBA15D0KDCCF	DTM2
2020-08-26T00:00:00+00:00	X001650K8N	VAN92-X200-GBBK0A-N1S2	Wireless Earbuds, VANKYO X200 Bluetooth 5.0 Earbuds in-Ear True Wireless Headphones with Smart LED, 120H Playtime Deep Bass Stereo Sound, IPX8 Waterproof Wireless Earphones With Mic for Work Sport	-2	FBA15CXP0Z33	MME1
