amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	is-sold-by-ab 
408-5521678-9707536	408-5521678-9707536	2020-08-25T22:18:33+00:00	2020-08-26T13:48:18+00:00	Shipped	Amazon	Amazon.it			Expedited	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Tra	VNTP1-S500-ITBK0A-AC1SC1	B081TVL9DR	Shipped	1	EUR	169.99	30.65							San benigno Canavese	Torino	10080	IT		false			false
406-6875800-7723514		2020-07-27T12:28:24+00:00	2020-08-26T12:03:46+00:00	Shipped	Merchant	Amazon.it			Standard	Baby Monitor con LCD Schermo da 5 Pollici, Telecamera da Interno con Sensore di Temperatura e VOX, Videosorveglianza Senza Fili con Ninnananna, Audio	VNTP1-H136-ITWH0A-AC1SC1	B07VT5S8HM	Shipped	1	EUR	119.99	21.64							Vahrn	Bolzano	39040	IT		false			false
407-5560446-5843565		2020-08-06T12:50:54+00:00	2020-08-26T07:19:51+00:00	Shipped	Merchant	Amazon.it			Expedited	SNAPTAIN S5C Drone con Telecamera 720p HD FPV, Compatibile con VR Box, Quadricottero WiFi Un Pulsante Decollo e Atterraggio, G-sensore, 3D Flip, Funzi	VNTP1-S5C0-ITBK6A-AC1SC1FBM	B07Y65S63B	Shipped	1	EUR	69.99	12.62							Crispiano	Taranto	74012	IT		false			false
406-9509626-6650752	406-9509626-6650752	2020-08-25T16:23:46+00:00	2020-08-26T01:35:14+00:00	Shipped	Amazon	Amazon.it			Expedited	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Tra	VNTP1-S500-ITBK0A-AC1SC1	B081TVL9DR	Shipped	1	EUR	169.99	30.65							CAVA D'ALIGA	Ragusa	97018	IT		false			false
171-5367424-8077901	171-5367424-8077901	2020-08-25T19:59:27+00:00	2020-08-26T00:05:57+00:00	Shipped	Amazon	Amazon.it			Expedited	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Tra	VNTP1-S500-ITBK0A-AC1SC1	B081TVL9DR	Shipped	1	EUR	169.99	30.65							Collegno	TO	10093	IT		false			false
407-2451703-7383520	407-2451703-7383520	2020-08-25T08:18:55+00:00	2020-08-25T18:34:01+00:00	Shipped	Amazon	Amazon.it			Expedited	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Tra	VNTP1-S500-ITBK0A-AC1SC1	B081TVL9DR	Shipped	1	EUR	159.99	28.85							MAERNE	Venezia	30030	IT		false			false
405-7478230-6994732	405-7478230-6994732	2020-08-24T22:11:32+00:00	2020-08-25T16:28:03+00:00	Shipped	Amazon	Amazon.it			Expedited	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Tra	VNTP1-S500-ITBK0A-AC1SC1	B081TVL9DR	Shipped	1	EUR	169.99	30.65							Pietraperzia	EN	94016	IT		false			false
402-6552879-0956365		2020-08-08T13:02:50+00:00	2020-08-25T07:11:19+00:00	Shipped	Merchant	Amazon.it			Standard	SNAPTAIN H823H Plus Mini Drone per Bambini, Funzione Lancia&Vola, Funzione Hovering, ModalitÃ  Senza Testa, Rotazione a 360Â°, Decollo/Atterraggio a U	VNTP1-H82P-ITBU1A-AC1SC1FBM	B07Z4FV8TY	Shipped	1	EUR	29.99	5.41							Cagnano Varano	Foggia	71010	IT		false			false
405-6238415-4557142	405-6238415-4557142	2020-08-24T21:56:56+00:00	2020-08-24T22:02:56+00:00	Cancelled	Amazon	Amazon.it			Expedited	SNAPTAIN SP500 Drone GPS con 1080P FHD Telecamera, Quadricottero RC con GPS Ritorno Home, Seguimi, Controllo dei Gesti, Volo Circolare, Auto Hover Tra	VNTP1-S500-ITBK0A-AC1SC1	B081TVL9DR	Cancelled	0										Pietraperzia	EN	94016	IT		false			false
S02-4255223-9688302	UL510WH001	2020-08-11T07:29:55+00:00	2020-08-27T12:10:45+00:00	Shipping	Amazon	Non-Amazon			Standard	VANKYO Leisure 510 HD Projector with 5000 Lux LED Brightness, Video Projector with 200" Projection Size, Support 1080P HDMI VGA AV USB with Free HDMI Cable and Carrying Bag	CPJK-L510-GBWH0A-A1S2	B07GWSGW5H	Unshipped	2										Manchester	Lancashire	M17 1AY	GB		false			false
S02-0387070-5838323	FA15HGY004	2020-08-18T04:14:10+00:00	2020-08-27T12:03:04+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-A15H-FRGY0A-AC2SC4	B07RWGM7K7	Unshipped	32															false			false
S02-7905529-4513002	FS600BK004	2020-08-18T06:20:04+00:00	2020-08-27T11:56:55+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S600-FRBK6A-AC1SC3	B07VDNVYW7	Unshipped	11															false			false
S02-2434595-0992116	FS500BK004	2020-08-18T04:35:11+00:00	2020-08-27T11:55:14+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S500-FRBK0A-AC1SC2	B07YYC89WV	Unshipped	2															false			false
S02-4126082-8204911	FS300BU004	2020-08-18T04:56:32+00:00	2020-08-27T11:49:23+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S300-FRBU0A-AC1SC2	B07Z4BK5NP	Unshipped	2															false			false
S02-1731463-4251826	FS650BK004	2020-08-18T06:12:41+00:00	2020-08-27T11:20:52+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S650-FRBK6A-AC1S3	B07YRPGWND	Unshipped	14															false			false
S02-5309251-4626317	US5C0BK011	2020-08-20T07:36:25+00:00	2020-08-27T11:09:53+00:00	Shipping	Amazon	Non-Amazon			Standard	SNAPTAIN S5C WiFi FPV 720P HD Camera, Best Drone for Beginners with Altitude Hold, Voice Control, G-Sensor, Trajectory Flight, 3D Flips, Headless Mode, One Key Operation, 2 Batteries, Black	CUVP-S5C0-GBBK6A-A1S3	B07GN7GDXB	Unshipped	31															false			false
S02-2858291-1438343	ES5C0BK001	2020-08-06T07:02:18+00:00	2020-08-27T10:59:13+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S5C0-ESBK6A-AC1SC1	B084YVYVLL	Unshipped	1															false			false
S02-7921693-9374157	DV600SV006	2020-08-14T12:41:17+00:00	2020-08-27T10:55:34+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-V600-DESV0A-AC1SC2	B07Y7THS3J	Unshipped	20										Frankfurt	Hessen	15234	DE		false			false
S02-3113397-1246601	UKZ1003	2020-08-11T07:24:29+00:00	2020-08-27T10:34:34+00:00	Shipping	Amazon	Non-Amazon			Standard	VANKYO MatrixPad Z1 7 inch Android Tablet, Android 8.1 Oreo Go, 32GB ROM, Dual 2MP Cameras, HD IPS Display, Wi-Fi, BT4.0	CTAK-Z1AA-GBBK1A-AC2SC2	B07Q2TQXCD	Unshipped	1										Manchester	Lancashire	M17 1AY	GB		false			false
S02-1449110-6557721	FS350BU003	2020-08-18T04:44:25+00:00	2020-08-27T10:33:16+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S350-FRBU0A-AC1S3	B07YZKZHP5	Unshipped	7															false			false
S02-5176518-7486348	FV600SV004	2020-08-27T09:35:50+00:00	2020-08-27T09:56:08+00:00	Cancelled	Amazon	Non-Amazon			Standard	-	VNTP1-V600-FRSV0A-AC1SC1	B07YKGZ1CG	Unshipped	6										Frankfurt	Oder	15234	DE		false			false
S02-9742893-6395304	DL430WH007	2020-08-14T11:07:28+00:00	2020-08-27T09:52:50+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-L430-DEWH0A-AC1SC3	B07WHWZXKF	Unshipped	84										Frankfurt	Hessen	15234	DE		false			false
S02-9459071-7794807	FL47CWH004	2020-08-27T09:32:03+00:00	2020-08-27T09:52:19+00:00	Cancelled	Amazon	Non-Amazon			Standard	-	VNTP1-L47C-FRWH0B-AC1SC2	B0811C8V4Z	Unshipped	4										Frankfurt	Oder	15234	DE		false			false
S02-3837532-3129239	DS650BK002	2020-06-12T12:25:17+00:00	2020-08-27T09:52:04+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-S650-DEBK6A-AC1SC2	B07Z3J3HHX	Unshipped	76										Schriesheim	Baden-WÂ¨Â¹rttemberg	69198	DE		false			false
S02-3148738-4422917	FV630WH004	2020-08-27T09:30:14+00:00	2020-08-27T09:50:35+00:00	Cancelled	Amazon	Non-Amazon			Standard	-	VNTP1-V630-FRWH0A-AC1SC1	B07ZVTF5XZ	Unshipped	1										Frankfurt	Oder	15234	DE		false			false
S02-9116782-8497866	FV600SV001	2020-08-27T09:28:37+00:00	2020-08-27T09:34:49+00:00	Cancelled	Amazon	Non-Amazon			Standard	-	VNTP1-V600-FRSV0A-AC1SC1	B07YKGZ1CG	Unshipped	6										Frankfurt	Oder	15234	DE		false			false
S02-9719351-7876766	DV630WH005	2020-08-14T12:46:44+00:00	2020-08-27T09:11:36+00:00	Shipping	Amazon	Non-Amazon			Standard	-	VNTP1-V630-DEWH0A-AC1SC1	B082FX64JZ	Unshipped	90										Frankfurt	Hessen	15234	DE		false			false
S02-9850277-4216757	206-6340345-0380330-RS	2020-08-27T01:48:52+00:00	2020-08-27T03:09:35+00:00	Shipping	Amazon	SI UK Prod Marketplace			Standard	SNAPTAIN S5C Drone Accessories Pack	VNTP1-CT05-GBBK0A-AC1SC3	B07KXGCPY2	Unshipped	1										Hitchin	Hertfordshire	SG4 0QR	GB		false			false
