sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity	afn-reserved-future-supply	afn-future-supply-buyable
VAN92-4D0003-GBCR3A-N1S1	X00165DKWL	B0871VMG61	(2 Pack) VANKYO Glass Screen Protector for Matrixpad S20 10 inch Tablet, Tempered Glass High Definition/Scratch Resistant	New	15.99	No		Yes	322	152	2	168	652	111.76	330	0	0	0	0
VAN92-4D0003-ITCR3A-N1S1	X00169IRJX	B087NNJ3XP		Unknown					392	391	1	0	392		0	0	0	0	0
VAN92-4D0004-FRCR3A-N1S1	X00165OL7J	B086HCLN8L		Unknown					153	152	0	1	153		0	0	0	0	0
VAN92-4D0004-GBCR3A-A1S1	X00168B4HB	B087JRFDQX	(2 Pack) VANKYO Glass Screen Protector for Vankyo MatrixPad S30 Tablet 10 inch, Tempered Glass High Definition/Scratch Resistant	New	14.99	No		Yes	708	699	5	4	708	880.8	0	0	0	0	0
VAN92-4D0005-DECR3A-N1S1	X0016V3YCB	B088M7GTNY		Unknown					295	295	0	0	295		0	0	0	0	0
VAN92-4D0005-DECR3A-N2S1	X001837XKB	B08G51L3MT		Unknown					0	0	0	0	150		0	150	0	0	0
VAN92-4D0005-FRCR3A-N1S1	X0016NPS37	B0899HYSYL		Unknown					185	183	1	1	185		0	0	0	0	0
VAN92-4D0005-GBCR3A-N1S1	X0016NWI1R	B089B5BXVT	VANKYO Screen Protector for MatrixPad S10 10 inch Tablet, Tempered Gtlass Film,High Definition, Scrach Resistant, 2 Packs	New	14.99	No		Yes	376	368	0	8	376	614.68	0	0	0	0	0
VAN92-4D0005-ITCR3A-N1S1	X0016NVZUH	B089CLLSBF		Unknown					300	300	0	0	300		0	0	0	0	0
VAN92-4D002-DECR2A-N1S1	X0014QSQU3	B083K29YZP		Unknown					273	271	1	1	273		0	0	0	0	0
VAN92-5A0004-DEWH4A-N1S1	X00176Q46D	B08185HXV2		Unknown					289	169	0	120	289		0	0	0	0	0
VAN92-5A0004-FRWH4A-N1S1	X0017DKNPT	B0871ZLDNX		Unknown					0	0	0	0	306		306	0	0	0	0
VAN92-5A0004-ITWH4A-N1S1	X00177Y257	B085DBFF5B		Unknown					0	0	0	0	578		578	0	0	0	0
VAN92-6E0001-UNWH2A-N1S1	X0015MGA5J	B0854DX2XS		Unknown					4	0	4	0	34		30	0	0	0	0
VAN92-7B0007-DEBK0A-N1S1	X0017DYGFR	B08C4ST87M		Unknown					0	0	0	0	0		0	0	0	0	0
