sku	fnsku	asin	product-name	condition	your-price	mfn-listing-exists	mfn-fulfillable-quantity	afn-listing-exists	afn-warehouse-quantity	afn-fulfillable-quantity	afn-unsellable-quantity	afn-reserved-quantity	afn-total-quantity	per-unit-volume	afn-inbound-working-quantity	afn-inbound-shipped-quantity	afn-inbound-receiving-quantity
VAN92-H82P-FRBU1A-N2S3	X0013Y50WD	B07WS6WDWF		Unknown					934	897	18	19	1510		576	0	0
VAN92-H82P-FRRD1A-N1S2	X00127UATJ	B07R57F1F7		Unknown					2	0	2	0	2		0	0	0
VAN92-H82P-GBBU1A-N1S1	X001365AL7	B07YDM5WZK		Unknown					1057	1046	10	1	8725		7560	0	108
VAN92-H82P-GBRD1A-N1S1	X0011P9THV	B07TTN5D1M		Unknown					2113	2099	12	2	10753		8640	0	0
VAN92-H82P-ITRD1A-N1S2	X001352ESP	B07YFTJFM8		Unknown					1224	1166	49	9	1944		0	720	0
VAN92-HM132-GBWH0A-N1S1	X0015YVVWT	B085ZY587J		Unknown					470	438	11	21	1990		1520	0	0
VAN92-HM132C-DEWH0A-N1S1	X0017PT50B	B08DY5HSK3		Unknown					0	0	0	0	0		0	0	0
VAN92-HM132X-ESWH0A-N3S1	X00166AECT	B086WTH2VX	VigilabebÃ©s Inalambrico con Pantalla LCD HD de 4.3 Pulgadas, Vigila BebÃ©s con VisiÃ³n Nocturna, Sensor de Temperatura y VOX, CÃ¡mara para Bebes con Audio Bidireccional, 8 Canciones de Cuna	New	95.99	No		Yes	540	540	0	0	540	3702.66	0	0	0
VAN92-HM132X-FRWH0A-N1S1	X00178ED19	B08BLMG234		Unknown					0	0	0	0	0		0	0	0
VAN92-HM132X-FRWH0A-N5S5	X00183P0BF	B08FFHJFPR		Unknown					0	0	0	0	400		400	0	0
VAN92-HM202A-FRWH0A-N2S2	X0017DEYOZ	B08CS8B88Y		Unknown					0	0	0	0	0		0	0	0
VAN92-HM202A-FRWH0A-N5S5	X0017V1PIP	B08FFHYFSY		Unknown					0	0	0	0	864		864	0	0
VAN92-HM202A-GBWH0A-N1S1	X0015YXK4L	B0861535NG		Unknown					1441	1412	25	4	4249		1200	1608	0
VAN92-HM202A-ITWH0A-N1S1	X0017DHUTL	B08CSCX5TS		Unknown					0	0	0	0	312		312	0	0
VAN92-HM206-GBBK0A-N1S1	X00168HDOT	B087JLXTBW		Unknown					0	0	0	0	500		0	500	0
VAN92-HM206X-ITBK0A-N1S2	X00184DRKP	B08G4Y772Q		Unknown					0	0	0	0	500		500	0	0
